idcategory,categdesc
020518,Children drinking or eating
020519,Children crying
020520,Children with musical instruments
020521,Children with animals
020522,Pairs of children of different sexes
020523,Children stylized
020524,Several children
020527,Shadows or silhouettes of children
020530,Other children; phoetus
0207,MIXED GROUPS; SCENES
020701,Heads or busts of man and woman (couple); heads or busts of adult and child
020702,Man and woman (couple)
020704,Man and woman (couple wearing a folk or historical costume)
020705,Man and woman (couple) nude or wearing underclothes or other light attire
020709,Woman (women) and baby (babies)
020710,Woman (women) and child (children)
020711,Man (men) and baby (babies); man (men) and child (children)
020712,man and a woman with child (children) (family)
020713,Group sporting scenes
020714,Groups of workers in fields or forests
020715,Other groups at work
020716,Theater; variety; concert or dancing scenes
020717,Travelling shows; fairs and fairgrounds; street scenes; groups with vehicle(s)
020718,Groups eating or drinking
020719,Indoor scenes; groups gathered around a table
020720,Battle scenes; military troops
020721,Groups mounted on or accompanied by animals (except 2.7.13; 2.7.14; 2.7.17 and 2
020723,Groups stylized
020725,Other groups or scenes
0209,PARTS OF THE HUMAN BODY; SKELETONS; SKULLS
020901,Hearts
020904,Eyes; iris.
020906,Ears
020907,Noses
020908,Lips; mouths; tongues
020910,Teeth; dentures; bites
020912,Hair; locks of hair; wigs; beards; moustaches
020914,Hands; cupped hands; fingers; fingernails; arms
020915,Open hands (palm or back)
020916,Hands joined in handshake
020917,Imprints of hands or of fingers
020918,Fists
020919,Feet; toes; toenails; imprints of feet or of toes; legs
020920,Thumbs up or thumbs down
020921,Bodies or dummies without head or feet
020922,Skeletons; parts of skeletons; bones (except 2.9.23)
020923,Skulls
020924,Lungs (respiratory system)
020925,Other parts of the human body; D.N.A. band; cells; brains; spermas; hair roots (
03,ANIMALS
0301,QUADRUPEDS (SERIES I)
030101,Lions
030102,Heraldic lions
030104,Tigers or other large felines
030106,Cats or other small felines
030108,Dogs; wolves; foxes
030109,Boxers; bulldogs
030110,Saint Bernards
030111,Poodles
030114,Bears; koalas; wombats
030115,Pandas
030116,Heads of animals of Series I
030120,Animals of Series I rearing
030121,Animals of Series I bounding
030122,Animals of Series I with forepaw(s) resting on an escutcheon (shield)* or other
030123,Animals of Series I facing each other
030124,Animals of Series I stylized
030125,Animals of Series I in costume
030126,Animals of Series I standing
030127,Animals of Series I lying down
030128,Animals of Series I sitting down
0302,QUADRUPEDS (SERIES II)
030201,Elephants; mammoths
030203,Elephants or mammoths facing front
030204,Two elephants facing each other
030207,Hippopotamus; rhinoceros
030209,Giraffes
030211,Okapis
030213,Camels; dromedaries; llamas; alpacas; vicuñas
030215,Heads of animals of Series II
030224,Animals of Series II stylized
030225,Animals of Series II in costume
030226,Animals of Series II standing
030227,Animals of Series II lying down
