idcategory,categdesc
090123,Bed coverings; cushions; eiderdowns
090124,Cloth labels; with scalloped edges or not
090125,Other textile articles not classified in divisions 9.3';' 9.7 and 9.9
0903,CLOTHING
090301,Clothing
090302,Jackets; waistcoats; coats; cloaks
090303,Trousers; breeches
090304,Suits or costumes (except A 9.3.5 and A 9.3.14)
090305,Dresses; aprons; ladies' suits or costumes
090307,Ponchos
090308,Pullovers; sweaters
090309,Shirts; T-shirts; bodices; shirt-blouses
090310,Collars of clothing
090313,Ties; bow ties; silk scarves
090314,Underwear; underpants; diapers; bathing costumes
090315,Stockings; socks; bootees
090316,Gloves
090317,Belts; buckles for belts
090318,Bibs
090319,Clothing pockets
090320,Parts of clothing of division 9.3 (except 9.3.10 and 9.3.19)
090321,Diving suits
090325,Other clothing not classified in divisions 9.7 and 9.9
090326,Groups of clothes of different kinds
0905,SEWING ACCESSORIES; PATTERNS FOR DRESSMAKING
090501,Needles; thimbles; hooks; pins
090502,Sewing needles; straight or curved
090503,Knitting needles
090505,Thimbles
090506,Crochet hooks
090507,Fastening hooks
090508,Pins (except a 9.5.9)
090509,Safety pins
090510,0ther sewing accessories
090512,Buttons (except a 9.5.13)
090513,Press studs
090515,Slide fasteners
090516,Patterns for clothing
090517,Corset whalebones
090518,Stitchings; topstitchings
090525,Other sewing accessories; not classified in 9.5.1
0907,HEADWEAR
090701,Headwear
090702,Turbans
090705,Caps and berets
090709,Cocked hats
090711,Kepis
090713,Phrygian caps
090715,Fez
090717,Broad-brimmed hats (Mexican hats or cowboys' hats)
090719,Cooks' caps
090721,Protective helmets
090722,Mortarboards
090725,Other headwear; indians feathers
0909,FOOTWEAR
090901,Footwear
090902,Clogs
090903,Low-heeled shoes
090905,High-heeled shoes
090907,Boots; top boots
090910,Carpet slippers
090911,Sports footwear; ski boots
090913,Babies' footwear
090914,Sandals; flip flops
090915,Soles of boots and shoes; footprints left by boots and shoes
090917,Other parts of footwear
090925,Other footwear
10,TABACCO; SMOKERS' REQUISITES; MATCHES; TRAVEL GOODS; FANS; TOILET ARTICLES
1001,TOBACCO; SMOKERS' REQUISITES; MATCHES
100101,Tobacco
100102,Cut tobacco
100103,Cigars
100105,Cigarettes
100107,Tobacco in any other form
100110,Smokers' requisites; matches
100111,Pipes
100112,Hookahs
100113,Cigarette holders and cigar holders
100114,Pipe cleaners
100115,Cigar cutters
100116,Tobacco jars
100117,Tobacco pouches
100118,Lighters
100119,Ash trays
100120,Matches
100125,Other smokers' requisites
1003,TRAVEL GOODS; FANS; BAGS
100301,Sticks; umbrellas; parasols
100304,Open umbrellas or parasols
100307,Fans
100308,Wallets; purses
100310,Bags; suitcases; trunks; brief-cases
100311,Shopping bags
100312,Satchels
100313,Handbags
100314,Handbag; suitcase or trunk fasteners
100315,Rucksacks
100316,Suitcases; trunks
100325,Other travel goods
1005,TOILET ARTICLES; MIRRORS
100501,Toothbrushes; dose of toothpaste; toothpaste only
100504,Shaving articles (except 10.5.21)
100505,Open razors
100506,Safety razors
100507,Blades for safety razors
100508,Electric razors
100509,Shaving brushes
100511,Hair clippers
100513,Combs; hairbrushes
100515,Lipsticks
100517,Mirrors
100519,Sprays for toilet purposes
100521,Soap
100525,Other toilet articles; other cosmetic or toilet products; sanitary towels; tooth
11,HOUSHOLD UTENSILS
1101,KNIVES; FORKS AND SPOONS; KITCHEN UTENSILS AND MACHINES
110101,Knives; forks and spoons
110102,Spoons
110103,Knives
110104,Forks
110105,Sets consisting of knife(ves); fork(s) and/or spoon(s)
110106,Chopsticks
110109,Spatulas; tart slices; other table implements
110110,Kitchen utensils and machines
110111,Funnels
110113,Strainers; colanders
110114,Tin openers; bottle openers; corkscrews
110115,Vegetable grinders; meat mincers
110117,Chopping or carving boards
110118,Coffee filters
110119,Coffee mills
110120,Pepper mills
110121,Mixers
110122,Rolling pins
110125,Other kitchen utensils or machines; moulds.
1103,CONTAINERS FOR BEVERAGES; PLATES AND DISHES; KITCHEN UTENSILS FOR SERVING; PREPA
110301,Drinking vessels; cups (trophies)
110302,Glasses with or without stems; without handles
110303,Tankards; glasses with handles
110304,Cups; cups with saucers
110305,Trays
110306,Drinking straws
110307,Bowls
110308,Serving jugs
110309,Plates; saucers
110310,Dishes; fruit dishes; salad bowls; fruit bowls
110311,Sauce boats; soup tureens
110313,Cruets; salt cellars; pepper casters; mustard pots
110314,Tea pots; coffee pots; kettles
110318,Saucepans; pots; stewpans; frying pans; cauldrons
110320,Containers; plates or dishes containing food or drink
110323,Plates and dishes with knives; forks or spoons
110325,Other plates and dishes
1107,OTHER HOUSEHOLD UTENSILS
110701,Household utensils not classified in divisions 11.1 or 11.3
110702,Irons
110703,Coat hangers
110704,Clothes-pegs; clothes-pins
110705,Brushes; sponges; steel wool
110707,Brooms; window cleaning instruments
12,FURNITURE; SANITARY INSTALLATIONS
1201,FURNITURE
120101,Furniture
120102,Cots
120103,Beds
120104,Mattresses; wedges; bolsters
120105,Cradles
120106,Hammock
120109,Chairs; armchairs; stools
120110,Benches; forms; seats; sofas
120115,Tables; work benches; butchers' blocks; shop counters
120116,Desks
120117,Chests of drawers; trunks
120119,Cupboards; sideboards; safes; strongboxes
120121,Sets of shelves; whatnots; dressers
120122,Clothes stands (valets)
120125,Other pieces of furniture
1203,SANITARY INSTALLATIONS
120301,Sanitary installations
120302,Washbasins; sinks
120303,Baths
120304,Showers
120307,Water closets and bidets; flushing cisterns
120311,Taps; taps which are not part of a sanitary installation
120325,Other sanitary installations
13,LIGHTNING; WIRELESS VALVES; HEATING; COOKING OR REFRIGERATING EQUIPMENT; WASHING
1301,LIGHTING; WIRELESS VALVES
130101,Candles; candlesticks
130102,Candlesticks (except 13.1.3)
130103,Candlesticks with several branches
130105,Flambeaux; torches (except 13.1.8)
130106,Lamps; fairy lights; lanterns; wireless valves
130107,Oil lamps; lamps emitting a faint light
130108,Fairy lights; lanterns (except A 13.1.9); hurricane lamps
130109,Hurricane lamps
130110,Street lamps; standard lamps
130111,Table lamps; Argand lamps; lampshades
130112,Hanging lamps
130113,Bracket lamps
130114,Electric torches; pocket lamps
130115,Flashlights for signalling
130116,Vehicle headlights
130117,Electric light bulbs or tubes
130118,Wireless valves
130120,Parts of lamps (except 13.1.11 and 13.1.17)
130125,Other lighting apparatus; spots
1303,HEATING; COOKING OR REFRIGERATING EQUIPMENT; WASHING MACHINES; DRYING EQUIPMENT
130301,Heating; cooking or refrigerating equipment
130302,Hearths; braziers; other heating apparatus with open fire; bread oven
130303,Boilers for heating; stoves for rooms
130305,Radiators; sauna heating equipment; other heating apparatus
130306,Parts of heating apparatus
130307,Kitchen stoves; plate warmers and dish heaters; grills; toasters; barbecues
130309,Other cooking equipment
130310,Hair dryers
130321,Refrigerating equipment
130323,Washing machines; dishwashers (machines)
130324,Household drying equipment
130325,Irons and other ironing apparatus
14,IRONMONGERY; TOOLS; LADDERS
1401,TUBES; CABLES; HEAVY IRONMONGERY ARTICLES
140101,Tubes; pipes; sluices
140102,Tubes or pipes; bent; coiled or twisted
140103,Joints of pipes or of tubes; sluices
140105,Bars; cables; electric cables
140106,Bars or cables; braided or twisted
140107,Sections of cables
140108,Cables with distinctive wires or with sections of different colours
140110,Cables or cords with electric plugs
140113,Chains; links of chain
140114,Block chains (for bicycles; motorcycles; etc.)
140115,Links of chain
140116,Chains forming a ring
140118,Other heavy ironmongery articles
140119,Girders; spars; rods; rails
140120,Profiles of girders; of spars; of rods or of rails
140122,Iron rods for reinforcing concrete; structural frameworks of such iron
140123,Barbed wire
140124,Wire netting
140125,Other heavy ironmongery articles
1403,SMALL IRONMONGERY ARTICLES; SPRINGS
140301,Nails; screws; bolts; rivets; dowel pins; screw nuts; drawing pins
140302,Nails
140303,Screws; bolts; rivets; dowel pins; drawing pins
140307,Nails; screws; bolts; rivets and/or dowel pins; crossed
140309,Screw nuts
140311,Hooks
140313,Terminal connectors for cables; cable clamps; collars; junction sleeves; rings;
140315,Door handles; window handles; hinges; butt-hinges; other handles
140316,Door bolts; latches
140320,Other small ironmongery articles
140321,Springs of whatever kind and for whatever purpose
1405,KEYS FOR LOCKS; LOCKS; PADLOCKS
140501,Keys; part of keys
140502,One key
140503,Two keys
140506,More than two keys
140509,Parts of keys
140512,Keys with bows of circular; oval or constricted oval shape
140513,Keys with lobed bows
140514,Keys with diamond-shaped bows; figured or otherwise; with straight or concave ed
140515,Keys of some other shape
140518,Flat keys
140519,Other keys
140520,Keyrings; with or without keys
140521,Locks; escutcheons
140523,Padlocks
140524,Handcuffs
1407,TOOLS
140701,Hammers; sledge-hammers; mallets; croquet mallets
140702,Axes
140703,Two hammers; two sledge-hammers or two axes; crossed
140704,Anvils; shoemakers' lasts
140706,Other tools (except 14.7.18 to 14.7.23) - electrical or not
140707,Tongs; pincers
140708,Tweezers
140709,Wedge keys; spanners; screwdrivers
140711,Braces; bow handles; hand drills
140712,Power drills; pneumatic hammers
140713,Bits (for drills); drills
140714,Sharpening stones; whitening stones
140715,Saws; saw benches; chain saws
140716,Saw blades or belts of band saws; chains of chain saws
140718,Cutlery
140719,Knives; shoemakers'cutters
140720,Scissors (except 14.7.21)
140721,Sheep shears
140723,Bricklayers' trowels and plasterers' hawks; spatulas other than artists? palette
1409,AGRICULTURAL OR HORTICULTURAL IMPLEMENTS; ICE AXES
140901,Spades
140902,Spades; round or pointed
140903,Spades; rectangular or square
140905,Pickaxes; ice axes; hoes
140907,Scythes; sickles
140910,Other agricultural or horticultural implements
140911,Rakes
140913,Ploughs; ploughshares
1411,LADDERS
141101,Ladders
141102,Single ladders
141103,Double ladders
141104,Stepladders
141105,Swimming pool ladders
15,MACHINERY; MOTORS; ENGINES
1501,MACHINES FOR INDUSTRY OR AGRICULTURE; INDUSTRIAL INSTALLATIONS; MOTORS; ENGINES;
150101,Machines for industry and industrial installations (such as for pressing;grindin
150107,Conveyor belts
150111,Motors; engines
150113,Propellers; ventilators; blowers; turbines; burners; all kinds of propellers; in
150117,Parts of machines for industry or agriculture; of industrial installations or of
150119,Cranes; blocks and tackle; pulleys
150121,Sprayers; paint sprayguns; fire extinguishers; water sprinklers; hoses
150122,Machines for agriculture; lawn mowers and other garden machines
150123,Petrol pumps
150124,Automatic distributors; coin-freed vending machines (except 15.1.23); cash regis
150125,Various other mechanical appliances; door closers
1503,MACHINES FOR HOUSEHOLD USE; SPINNING WHEELS
150301,Machines for household use
150303,Sewing machines
150305,Vacuum cleaners; polishers
150309,Other household machines
150311,Spinning wheels; distaffs; looms
1505,OFFICE MACHINES
150501,Typewriters
150525,Other office machines
1507,WHEELS; BEARINGS
150701,Cog wheels; wheel cogs
150702,Saw toothed wheels; disks of circular saws
150703,Segments of cog wheels; wheel cogs
150704,Cog wheels or segments of cog wheels with spokes
150707,Ships' wheels; capstans; paddle wheels
150709,Other wheels; with or without spokes
150711,Ball bearings and other bearings
150715,Gearing; several wheels in juxtaposition; transmission wheels
150717,Wheels or wheel segments with wings
150718,Wheels or bearings without any inscription or design
150719,Wheels or bearings with inscription
150720,Wheels or bearings with human beings; animals or plants
150721,Wheels or bearings with other figurative elements
1509,ELECTRICAL EQUIPMENT
150901,Electrical equipment
150902,Batteries; piles
150903,Sparking plugs
150909,Electrical accessories for vehicles (except 15.9.2 and 15.9.3)
150910,Electric plugs
150911,Switches
150912,Electric outlets
150915,Insulators
150916,Transistors; diodes; resistors and magnets; resistances
150918,Integrated circuits; computer chips
150925,Other electrical apparatus
16,TELECOMMUNICATIONS; SOUND RECORDING OR REPRODUCTION; COMPUTERS; PHOTOGRAPHY; CIN
1601,TELECOMMUNICATIONS; SOUND RECORDING OR REPRODUCTION; COMPUTERS
160101,Aerials; satellite dishes; pylons; posts or lines for telephone or electricity
160104,Telecommunication; television; sound recording or sound reproduction apparatus a
160105,Radio or television apparatus; apparatus for reproduction of images (video)
160106,Computers; word processors; joystick; tastes (also in 24.17';'25); mouse pads
160107,Computer mouses
160108,Computer keyboards
160111,Telephone receivers & parts and telephone dials (both kinds)
160112,Fax machines; photocopying machines; scanners
160113,Microphones
160114,Headphones
160115,Record players
160116,Discs; CDs; DVDs for sound; image and data recording and reproduction; sleeves a
160117,Recording tapes; cassettes for recording tapes
160125,Other apparatus for telecommunication or the recording or reproduction of sound;
1603,PHOTOGRAPHY; CINEMATOGRAPHY; OPTICS
160301,Photographic or cinematographic apparatus; projection apparatus and lanterns
160303,Iris diaphragms
160305,Films; containers for films
160311,Other apparatus; instruments or equipment for photography or the cinema; cameras
160313,Spectacles; spectacle frames
160315,Binoculars; telescopes; field glasses; microscopes
160317,Magnifying glasses with handle
160319,Optical lenses; contact lenses; spectacle lenses
160325,Other optical apparatus; instruments or equipment; video cameras; traffic radars
17,HOROLOGICAL INSTRUMENTS; JEWELRY; WEIGHTS AND MEASURES
1701,HOROLOGICAL AND OTHER TIME-MEASURING INSTRUMENTS
170101,Horological instruments
170102,Circular dials with or without hands
170103,Dials not being circular; with or without hands
170105,Hands of horological instruments
170106,Other parts of horological instruments
170107,Watches
170108,Chronometers
170109,Clocks; alarm clocks
170113,Watch bracelets
170117,Sundials
170119,Sandglasses
170125,Other time-measuring instruments
1702,JEWELRY
170201,Precious stones
170202,Precious stones cut in facets
170204,Other representations of precious stones
170205,Pearls
170206,Pearls or precious stones in an oyster
170213,Necklaces; bracelets; jewelry chains
170217,Rings and wedding rings
170225,Other jewels; cuff links; tie pins and hat pins
1703,BALANCES; WEIGHTS
170301,Balances; weights
170302,Balances with two trays
170303,Other balances
170305,Parts of balances
170311,Weights
1705,MEASURES
170501,Measures
170502,Instruments for linear measurement (yardsticks; graduated rulers; tape measures;
170503,Slide rules; calculating disks and cylinders
170504,Abacuses
170505,Gauges; calipers; vernier gauges; micrometers
170507,Compasses for draftsmen and masons
170509,Squares; French curves; T-squares
170513,Plumb lines; lead weights for plumblines
170515,Levels
170517,Dials of measuring instruments
170519,Thermometers
170521,Compasses; mariners' compasses
170525,Other measuring instruments; markers; weather vanes; anemometers; wind-socks; se
18,TRANSPORT; EQUIPMENT FOR ANIMALS
1801,LAND VEHICLES
180101,Vehicles propelled by human or animal power (except 18.1.5 and 18.1.14)
180102,Chariots for racing or combat; horse-drawn carriages with two wheels
180103,Horse-drawn carriages or chariots with four or more wheels
180105,Bicycles; motor cycles; motor scooters; tricycles; one wheel bicycle
180107,Motor road vehicles
180108,Lorries; coaches; tractors; trolleybuses; vans
180109,Motor cars
180111,Rail vehicles; trains; tramcars
180112,Locomotives
180114,Other land vehicles
180115,Road rollers; self-propelled road construction or building site vehicles or mach
180116,Lifts; lift trucks
180117,Toboggans; sledges; other vehicles for snow; self-propelled machines for snow
180118,Caravans; motor homes
180119,Perambulators; caddies; scooters (with or without handlebars); supermarket troll
180120,Wheelchairs
180121,Tyres; tyre prints; snow chains; axles with or without wheels; steering wheels;
180123,Stylized land vehicles
180125,Other means of transport not classified in divisions 18.3 and 18.5';' cable cars
1802,EQUIPMENT FOR ANIMALS
180201,Horseshoes and horseshoe-shaped magnets (other magnets see 15.9.16)
180207,Equipment for horses (except 18.2.1)
180209,Stirrups; spurs
180211,Harness
180213,Saddles
180215,Whips; hunting crops
180217,Equipment for dogs and cats
180218,Collars and leashes for dogs and cats
180225,Equipment for other animals
1803,VEHICLES FOR USE ON WATER AND AMPHIBIOUS VEHICLES
180301,Rowing boats; canoes; gondolas; dinghies; kayaks
180302,Sailing boats; sailboards
180303,Viking boats; galleys; boats with a single square sail (set on a yard slung hori
180305,Ancient sailing boats; with a pronounced sheer; and towering superstructures for
180307,Large sailing boats on long slender lines; clippers
180309,Other sailing boats
180310,Sailboards; surfboards
180313,Mixed ships (sail and steam)
180314,Motor boats and ships
180315,Liners
180316,Submarines
180317,Other motor boats or vessels; trawlers; tugs
180318,Ships' funnels
180321,Sails; portholes; oars
180323,Fanciful or stylized boats
180325,Other means of transport on water; floating docks; amphibious vehicles and air-
1804,ANCHORS; BUOYS OR LIFEBELTS
180401,Anchors; buoys or lifebelts
180402,Anchors
180403,Crossed anchors
180411,Buoys or lifebelts
1805,AERIAL OR SPACE VEHICLES
180501,Aeroplanes; helicopters
180503,Stylized aeroplanes
180505,Other aerial vehicles; UFOs
180506,Balloons; captive balloons; dirigible ballons
180507,Kites; delta-wing gliders
180508,Parachutes
180510,Space rockets and capsules; artificial satellites
1807,TRAFFIC SIGNS AND INDICATOR BOARDS
180701,Road or railway traffic signs
180709,Direction indicator boards or posts; business name plates; name and number plate
180711,Road or railway traffic lights
180713,Milestones
180719,Semaphores
180720,Other road or railway traffic signs
180722,Water or air traffic signs
180723,Signal buoys
180725,Other water or air traffic signs
19,CONTAINERS AND PACKING; REPRESENTATIONS OF MISCELLANEOUS PRODUCTS
1901,LARGE CONTAINERS
190101,Large cylindrical or elliptical containers (such as tanks; gas bottles; gas cyli
190103,Large non-cylindrical or non-elliptical containers (such as packing cases; crate
190104,Tins and cans; pails; watering cans; dustbins
190105,Barrels lying horizontally
190106,Barrels standing upright
190107,Barrels viewed from the front
190108,Vats; wooden buckets; milking pails
190111,Large sacks for transporting merchandise
190112,Baskets; including baskets carried on the back (dossers); portable bottle crates
190125,Other large containers; palets
1903,SMALL CONTAINERS
190301,Small cylindrical or elliptical containers (such as tubes for pills or for lipst
190303,Small non-cylindrical or non-elliptical containers
190304,Letter boxes
190305,Sachets
190306,Coffe or tea pots
190308,Piggy banks; money boxes
190309,Small open containers
190315,Tubes or bottles with their wrappers; present boxes
190321,Tubes pinched at one end
190324,Paper or card prepared for assembling into small containers
190325,Other small containers ; blisters
1907,BOTTLES; FLASKS
190701,Bottles or flasks in circular or elliptical horizontal cross section
190702,Bottles or flasks in horizontal cross section other than circular or elliptical
190706,Bottles or flasks representing a human being; an animal; part of a human body or
190707,Bottles or flasks with handle
190709,Bottles or flasks; slender
190710,Bottles or flasks; squat
190712,Bottles or flasks without neck
190713,Bottles or flasks with sloping or horizontal neck
190716,Bottles or flasks with inward-curving sides
190717,Bottles or flasks with bulging; protruding or rounded sides
190720,Bottles or flasks of conical shape
190722,Bottles or flasks with vertical; horizontal or other ribs
190723,Bottles or flasks with surface relief other than ribs
190724,Bottles or flasks in wicker casing
190725,Other bottles or flasks
190726,Feeding bottles; teats
1908,PARTS OR ACCESSORIES OF BOTTLES
190801,Parts or accessories of bottles
190802,Bottle necks
190805,Stoppers; corks
190807,Sealing capsules
190825,Other parts or accessories of bottles and receipients ; lids or covers; teats fo
1909,AMPHORAE; PITCHERS; VASES; FLOWER POTS; FLOWER STANDS
190901,Amphorae; pitchers; vases; flower pots; flower stands
190902,Amphorae with or without handles; pitchers
190903,Flower vases; decorative vases
190907,Flower pots or plant-growing pots
190909,Flower stands; plant boxes
1910,COFFINS; FUNERARY URNS
1911,RECEPTACLES FOR LABORATORY USE AND FOR PHARMACY
191101,Mortars; mortars for kitchen use
191104,Receptacles for laboratory use and for pharmacy
191105,Retorts; spherical or ovoid
191107,Triangular retorts
191109,Receptacles of spherical shape (balloon flasks)
191111,Receptacles of triangular shape
191113,Tests
191125,Other receptacles for laboratory use and for pharmacy
1913,MEDICAL OR SURGICAL APPARATUS; INSTRUMENTS OR UTENSILS; PROSTHESES; MEDICINES
191301,Medical or surgical apparatus; instruments or utensils; prostheses; medicines
191303,Hypodermic syringes
191305,Massage apparatus
191307,Prostheses
191313,Condoms
191315,Plasters; bandages
191321,Phials; capsules; pills; tablets; suppositories in rounded form
191322,Stethoscopes
191325,Other medical or surgical apparatus; instruments or utensils; earplugs; gasmasks
191399,Phials; capsules; pills; tablets; suppositories in other (not rounded) form
1919,REPRESENTATIONS OF MISCELLANEOUS PRODUCTS
20,WRITING; DRAWING OR PAINTING MATERIALS; OFFICE REQUISITES; STATIONERY AND BOOKSE
2001,WRITING; DRAWING OR PAINTING MATERIALS; SMALL OFFICE REQUISITES
200101,Writing drawing or painting materials; including artists' palette knives (except
200103,Pencils; pens; pen nibs; fountain pens; felt-tip pens
200105,Paint brushes
200109,Painters' rollers
200111,Other writing; drawing or painting materials
200115,Artists' easels; drawing boards; blackboards; slates
200116,Clapperboards
200117,Other small office requisites; paper clips; pencil sharpeners; adhesive tape dis
200119,Embossed stamps or rubber stamps
2005,PAPERS; DOCUMENTS
200501,Parchments with furled or fringed edges
200503,Calendars
200505,Other documents bearing handwritten or printed texts; or tables
200507,Plans; schematic drawings; diagrams; curves; outlines; graphics
200511,Cards; card indexes; punched cards or tapes; postcards
200513,Envelopes
200514,Visiting cards
200515,Tie-on labels
200516,Bank; credit or identification cards; bar-coded or not; magnetic or not
200521,Postage stamps
200523,Bank notes
200524,Crushed or crumpled paper; torn paper
200525,Paper in rolls; wallpaper; other papers and documents; pile of paper; tickets
2007,BOOKS; BOOKBINDINGS; NEWSPAPERS
200701,Books; magazines; newspapers; bookbindings; binders
200702,Books; magazines; newspapers
200705,Bookbindings; binders; folders; box files
200707,Headings of newspapers or magazines
21,GAMES; TOYS; SPORTING ARTICLES; ROUNDABOUTS
2101,GAMES; TOYS
210101,Packs of cards; playing cards; figures on playing cards
210102,Spade (suit)
210103,Diamond (suit)
210104,Four suits together (heart; spade; diamond; club)
210105,Figures of King; Queen or Jack
210107,Packs of cards; playing cards
210109,Playing dice; dominoes
210111,Draughtboards; chessboards; crosswords
210113,Chessmen
210114,Puzzles and their constitutive elements
210115,Building games; pieces for building games
210116,Balloons
210117,Wind mills (girandoles)
210125,Other games or toys; dolls (+ section 2.5); teddybears (+ section 3.1.149 & alik
2103,SPORTING ARTICLES; ROUNDABOUTS
210301,Footballs
210303,Skittles
210305,Rackets (tennis; badminton & squash)
210307,Golf clubs; hockey sticks; polo mallets (& other golf articles)
210309,Skis; points of skis; ski sticks
210310,Snowboards
210311,Ice or roller skates; skateboards
210313,Dumb-bells; weights for lifting
210314,Cricket stumps and bats (baseball & pingpong)
210315,Tackle for fishing and hunting (except 21.3.16); tackle for underwater fishing
210316,Nets for fishing; hunting or games
210317,Goals for football and other team sports
210319,Roundabouts; chutes; swings; seesaws
210321,Targets
210322,Table football (sporting articles)
210323,Boxing gloves
210324,Billiard tables and billiard cues
210325,Other sporting articles; ice-hockey pucks; gymnastic apparatus and instruments
210397,Basket balls
210398,Golf balls
210399,Shuttlecocks and other balls
22,MUSICAL INSTRUMENTS AND THEIR ACCESORIES; MUSIC ACCESORIES; BELLS; PICTURES; SCU
2201,MUSICAL INSTRUMENTS; MUSICAL INSTRUMENT ACCESSORIES; MUSIC ACCESSORIES
220101,Percussion instruments
220105,Wind instruments; whistles
220106,Brass instruments (except 22.1.7)
220107,Hunting horns
220108,Woodwind instruments; bagpipes
220110,Keyboard instruments
220111,Pipe organs
220115,Stringed instruments
220116,Lyres; harps
220121,Musical instrument accessories; music accessories; drumsticks; bows; metronomes;
220122,Tuning forks
220125,Other musical instruments
2203,BELLS
220301,Bells
220305,One bell; door bell
220306,Two bells
220307,Three bells
220308,More than three bells
220321,Small globular bells
2205,PICTURES; SCULPTURES
220501,Pictures; famous pictures
220503,Famous pictures
220510,Sculptures representing human beings
220512,Sculptures representing a woman
220513,Sculptures representing a man
220514,Sculptures representing a child
220515,Sculptures representing a group of human beings
220517,Equestrian sculptures
220519,Sculptures representing animals
220525,Other sculptures; abstract sculptures
23,ARMS; AMMUNITION; ARMOUR
2301,SIDE ARMS; OTHER WEAPONS NOT BEING FIREARMS
230101,Side arms; spears; swords; daggers
230105,Bows; quivers
230107,Crossbows
230125,Other weapons not being firearms
2303,FIREARMS; AMMUNITION; EXPLOSIVES
230301,Firearms
230302,Cannons; self-propelled cannons; rocket launchers
230303,Rifles; sub-machine guns; machine guns
230305,Pistols; revolvers
230307,Other firearms
230310,Ammunition; explosives
230311,Lead-shot cartridges
230313,Ball cartridges
230315,Shells; rockets
230317,Grenades
230325,Other ammunition or explosives
2305,ARMOUR
230501,Armour
230505,Helmets being parts of armour
230511,Other parts of armour
24,HERALDRY; COINS; EMBLEMS; SYMBOLS
2401,SHIELDS
240101,Shields containing neither a figurative element nor an inscription
240103,Shields containing representations of geometrical figures or solids; lines; band
240105,Shields containing other figurative elements or inscriptions
240107,Shields containing representations of heavenly bodies or natural phenomena
240108,Shields containing representations of human beings or parts of the human body; w
240109,Shields containing representations of animals or parts of animals' bodies
240110,Shields containing representations of plants
240111,Shields containing representations of landscapes; dwellings; buildings or struct
240112,Shields containing representations of manufactured or industrial articles
240113,Shields containing other figurative elements
240115,Shields containing inscriptions
240117,Shields with figurative elements or inscriptions placed outside
240118,Shields surmounted by figurative elements or inscriptions
240119,Shields with supporters
240120,Shields with figurative elements or inscriptions placed outside in any other way
240123,Several shields
240125,Shields of unusual shape
240199,Shields both surmounted and with supporters
2403,SEALS; STAMPS
240301,Seals or stamps
240302,Seals or stamps or sealing-wax attached or applied to a document; ribbon or othe
240307,Seals or stamps; circular
240308,Seals or stamps; elliptical
240309,Seals or stamps having some other form; sealing-wax (cire; lacre) *
240311,Seals or stamps with representations of heavenly bodies or natural phenomena
240312,Seals or stamps with representations of human beings or parts of the human body
240313,Seals or stamps with representations of animals or parts of animals' bodies
240314,Seals or stamps with representations of plants
240315,Seals or stamps with representations of landscapes; dwellings; buildings or stru
240316,Seals or stamps with representations of manufactured or industrial articles
240317,Seals or stamps with representations of geometrical figures or solids
240318,Seals or stamps with inscriptions
240319,Seals or stamps with other figurative elements
2405,MEDALS; COINS; DECORATIONS; ORDERS
240501,One medal or coin
240502,One medal or coin with the representation of a human head or a human being
240503,One medal or coin with some other figurative element
240505,Two medals or coins
240507,More than two medals or coins
240520,Decorations; orders
240521,Golden fleece
240525,Other decorations or orders; badges; sheriff stars
2407,FLAGS
240701,One flag
240703,Two or more flags
240705,Flags in clusters
240711,Flags in the form of a banderole
240713,Flags of which the part farthest from the staff is rounded or tapers to a point
240715,Flags in the form of a triangle
240721,Several flags on the same flagstaff; on the same cable
240723,Stylized flags
2409,CROWNS; DIADEMS
240901,Crowns closed at the top (by cap of estate or chapeau)
240902,Crowns open at the top
240903,Stylized or fanciful crowns
240904,Diadems
240905,One crown
240906,Two or more crowns
240907,Crowns with spheres on the tips of the points
240908,Crowns having the upper rim indented to resemble towers or battlements
240909,Crowns having three triangular points
240910,Crowns having more than three triangular points
240911,Crowns with points in the form of arrows
240912,Crowns with foliage dominant
240913,Crowns surmounted with a cross
240914,Crowns accompanied by a letter; monogram or numeral(s)
240916,Crowns accompanied by another inscription
240920,Crowns with representations of human beings or parts of the human body
240921,Crowns with representations of animals or parts of animals' bodies
240922,Crowns with representations of plants
240923,Crowns with representations of manufactured or industrial articles
240924,Crowns with another figurative element
240925,Crowns presenting other characteristics
2411,EMBLEMS; INSIGNIA
241101,Roman ensigns; lictors' fasces; sceptres
241103,Staves with wings (Mercury's staff)
241105,Crooked sticks; shepherds' crooks; pastoral staffs
241107,Neptune's tridents
241111,Globes surmounted by a cross
241113,Mitres
241114,Mercury's helmet (with wings)
241115,Star of David
241116,Horns of plenty
241117,Chinese symbol of good luck (Ruyi)
241118,Signs; drawings or other figurative elements recognized as emblems or insignia
241121,Braid (as decoration of honour or rank); cockades
241125,Other emblems or insignia
2413,CROSSES
241301,Greek cross; St. Andrew's cross
241302,Latin cross; tau cross
241303,Cross of Lorraine; Papal cross
241304,Maltese cross
241305,Crosses formed by inscriptions
241309,Crosses formed by intersecting lines
241313,Crosses containing an inscription
241314,Crosses accompanied by an inscription
241317,Crosses containing a figurative element
241321,Crosses with rays or radiating lines
241322,Crosses within a circle or a polygon or ellipse
241323,Crosses within a square or a rectangle
241324,Crosses within any other figurative element
241325,Other crosses
2415,ARROWS
241501,One arrow
241502,Two arrows
241503,More than two arrows
241505,Arrows with barbs
241507,Arrows combined with a letter; monogram or numeral(s)
241508,Arrows combined with any other inscription (except 24.15.17)
241511,Arrows combined with any other figurative element (except 24.15.13 and 24.15.15)
